SAMPLE	ABBR_CELL_FRAC	TUM_PLOIDY
PD26400a	0.94	2.205113821
PD26400c	1	2.169461186
PD26401a	0.76	1.888375495
PD26401c	0.9	1.900257017
PD26402a	0.45	1.999858901
PD26402c	0.43	2.076783511
PD26403a	0.8	2.353066879
PD26403c	0.93	2.346633255
PD26403d	0.96	2.297362676
PD26404a	0.79	2.32321801
PD26404c	0.9	2.322575556
PD26405a	0.89	1.968889766
PD26405c	0.88	1.987280645
PD26406a	0.87	1.948481372
PD26406c	0.92	1.916396436
PD26407a	0.63	2.124260326
PD26407c	0.69	2.121204164
PD26408a	0.36	2.502774053
PD26408c	0.8	2.263002362
PD26409a	0.8	2.120379305
PD26409c	0.88	2.126693677
PD26410d	0.95	2.376389088
PD26411a	0.7	2.261440677
PD26411c	0.45	2.462759481
PD26411d	0.3	2.560375332
PD26412a	0.55	2.615193286
PD26412c	0.85	2.215585761
PD26412d	0.73	2.246008409
PD26414a	0.46	3.140058997
PD26414b	0.9	3.140058997
PD26414c	0.27	3.140058997
PD26414e	0.66	3.140058997
PD26414f	0.76	3.143739768
PD26414g	0.9	3.142637461
PD26415c	0.27	2.186017136
PD26415g	0.76	2.18417963
PD26416d	0.6	2.246322353
PD26416e	0.92	2.24998824
PD26418a	0.95	2.018703925
PD26418c	0.99	2.019873323
PD26418d	0.96	2.023150304
PD26418e	0.81	2.022606815
PD26419a	0.31	1.975222293
PD26419c	0.2	1.911393952
PD26419d	0.77	3.408712034
PD26420a	0.96	1.941115044
PD26420c	0.93	1.940809831
PD26422d	0.9	1.712139491
PD26422e	0.98	1.712417647
PD26422f	0.82	1.711894521
PD26423e	0.83	3.07
PD26423g	0.7	3.07
PD26423h	0.3	3.07
PD26424a	0.65	2.134225393
PD26424c	0.5	2.140676642
PD26425e	0.8	1.892789217
PD26425f	0.7	1.847972734
PD26426e	0.97	2.302825856
PD26427a	0.45	2.199271374
PD26427c	0.31	2.136076988
PD26428a	0.45	1.957021653
PD26428c	0.55	1.957847741
PD26429a	0.86	2.011184182
PD26432c	0.45	2.717915873
PD26432e	0.3	2.702676959
PD26434c	0.3	1.956609125
PD26435c	0.4	2.305940077
PD26435e	0.82	3.619550013
